Point ID,Loss,points_0,points_1,points_2,points_Magnitude,RegionSize,RegionSpan,RegionType,SegmentationId
4478,1.31662,0.757266,-0.653107,0.29083,1.04143,4607,2.02527,1,159
4479,2.83232,0.758078,-0.652164,0.626127,1.17985,4607,2.02527,1,159
4480,1.6863,0.758889,-0.65122,0.372609,1.06716,4607,2.02527,1,159
4481,3.99784,0.759698,-0.650276,0.883959,1.33469,4607,2.02527,1,159
4482,0.997384,0.760507,-0.64933,0.220209,1.02396,4607,2.02527,1,159
4483,2.72509,0.761314,-0.648383,0.602406,1.16743,4607,2.02527,1,159
4484,1.12476,0.76212,-0.647435,0.248387,1.03039,4607,2.02527,1,159
4485,3.18402,0.762925,-0.646487,0.703929,1.22291,4607,2.02527,1,159
4486,1.31016,0.763729,-0.645537,0.289399,1.04103,4607,2.02527,1,159
4487,2.01234,0.764532,-0.644586,0.444734,1.09443,4607,2.02527,1,159
4488,0.820269,0.765333,-0.643634,0.181029,1.01625,4607,2.02527,1,159
4489,1.48946,0.766133,-0.642682,0.329064,1.05275,4607,2.02527,1,159
4490,1.20996,0.766932,-0.641728,0.267235,1.03509,4607,2.02527,1,159
4491,0.77952,0.76773,-0.640773,0.172014,1.01469,4607,2.02527,1,159
4492,2.66414,0.768527,-0.639818,0.588924,1.16053,4607,2.02527,1,159
4493,0.772742,0.769322,-0.638861,0.170515,1.01443,4607,2.02527,1,159
4494,0.782648,0.770117,-0.637903,0.172706,1.0148,4607,2.02527,1,159
4495,1.19934,0.77091,-0.636944,0.264886,1.03449,4607,2.02527,1,159
4496,0.953036,0.771701,-0.635985,0.210399,1.02189,4607,2.02527,1,159
4497,1.19805,0.772492,-0.635024,0.264601,1.03441,4607,2.02527,1,159
4498,0.991544,0.773282,-0.634062,0.218918,1.02368,4607,2.02527,1,159
4499,1.77227,0.77407,-0.6331,0.391626,1.07395,4607,2.02527,1,159
4500,0.630041,0.774857,-0.632137,0.138947,1.00961,121,1.28633,2,168
4501,0.755068,0.775643,-0.631172,0.166605,1.01378,4607,2.02527,1,159
4502,0.884246,0.776428,-0.630206,0.195181,1.01887,4607,2.02527,1,159
4503,2.04105,0.777211,-0.62924,0.451084,1.09703,4607,2.02527,1,159
4504,0.987471,0.777993,-0.628272,0.218016,1.02349,4607,2.02527,1,159
4505,1.18492,0.778775,-0.627304,0.261696,1.03368,4607,2.02527,1,159
4506,1.19539,0.779555,-0.626334,0.264011,1.03426,4607,2.02527,1,159
4507,1.26993,0.780333,-0.625364,0.2805,1.0386,4607,2.02527,1,159
4508,0.642459,0.781111,-0.624393,0.141694,1.00999,4607,2.02527,1,159
4509,0.990599,0.781887,-0.62342,0.218709,1.02364,4607,2.02527,1,159
4510,1.00258,0.782662,-0.622447,0.221358,1.02421,4607,2.02527,1,159
4511,1.41449,0.783436,-0.621473,0.312479,1.04768,4607,2.02527,1,159
4512,2.80152,0.784208,-0.620498,0.619314,1.17624,4607,2.02527,1,159
4513,0.785059,0.78498,-0.619521,0.17324,1.0149,4607,2.02527,1,159
4514,1.83015,0.78575,-0.618544,0.404431,1.07869,4607,2.02527,1,159
4515,0.792767,0.786519,-0.617566,0.174945,1.01519,4607,2.02527,1,159
4516,1.18889,0.787287,-0.616587,0.262573,1.0339,4607,2.02527,1,159
4517,1.34811,0.788053,-0.615607,0.297796,1.0434,4607,2.02527,1,159
4518,1.17926,0.788819,-0.614626,0.260444,1.03336,4607,2.02527,1,159
4519,0.848101,0.789583,-0.613644,0.187186,1.01737,4607,2.02527,1,159
4520,0.973343,0.790346,-0.612661,0.214891,1.02283,4607,2.02527,1,159
4521,1.12867,0.791107,-0.611677,0.249251,1.0306,4607,2.02527,1,159
4522,0.783989,0.791868,-0.610693,0.173003,1.01485,4607,2.02527,1,159
4523,1.63959,0.792627,-0.609707,0.362275,1.0636,4607,2.02527,1,159
4524,1.1756,0.793385,-0.60872,0.259634,1.03316,4607,2.02527,1,159
4525,1.56242,0.794142,-0.607733,0.345204,1.05791,4607,2.02527,1,159
4526,0.558257,0.794897,-0.606744,0.123068,1.00754,2,1.17557,2,187
4527,0.720698,0.795651,-0.605755,0.159002,1.01256,4607,2.02527,1,159
4528,1.49308,0.796405,-0.604764,0.329864,1.053,4607,2.02527,1,159
4529,0.703142,0.797156,-0.603773,0.155118,1.01196,4607,2.02527,1,159
4530,1.16292,0.797907,-0.602781,0.25683,1.03245,4607,2.02527,1,159
4531,1.96372,0.798656,-0.601788,0.433979,1.09011,4607,2.02527,1,159
4532,1.02885,0.799405,-0.600793,0.22717,1.02548,4607,2.02527,1,159
4533,0.995727,0.800151,-0.599798,0.219843,1.02388,4607,2.02527,1,159
4534,1.44573,0.800897,-0.598802,0.319391,1.04977,4607,2.02527,1,159
4535,1.21224,0.801642,-0.597805,0.267738,1.03522,4607,2.02527,1,159
4536,1.09508,0.802385,-0.596807,0.241821,1.02882,4607,2.02527,1,159
4537,1.71684,0.803126,-0.595809,0.379364,1.06954,4607,2.02527,1,159
4538,2.58591,0.803867,-0.594809,0.571617,1.15184,4607,2.02527,1,159
4539,0.889276,0.804607,-0.593808,0.196294,1.01908,4607,2.02527,1,159
4540,0.873352,0.805345,-0.592807,0.192772,1.01841,4607,2.02527,1,159
4541,1.34081,0.806082,-0.591804,0.296181,1.04294,4607,2.02527,1,159
4542,1.06276,0.806817,-0.590801,0.234671,1.02717,4607,2.02527,1,159
4543,1.13306,0.807552,-0.589796,0.250224,1.03083,4607,2.02527,1,159
4544,1.79592,0.808285,-0.588791,0.396858,1.07587,4607,2.02527,1,159
4545,0.993479,0.809017,-0.587785,0.219346,1.02377,4607,2.02527,1,159
4546,1.96786,0.809748,-0.586778,0.434895,1.09047,4607,2.02527,1,159
4547,1.23978,0.810477,-0.58577,0.273832,1.03681,4607,2.02527,1,159
4548,1.67947,0.811205,-0.584761,0.371099,1.06664,4607,2.02527,1,159
4549,0.941442,0.811932,-0.583752,0.207834,1.02137,4607,2.02527,1,159
4550,1.39101,0.812658,-0.582741,0.307286,1.04615,4607,2.02527,1,159
4551,1.25403,0.813382,-0.581729,0.276983,1.03765,4607,2.02527,1,159
4552,2.66116,0.814105,-0.580717,0.588263,1.1602,4607,2.02527,1,159
4553,2.93286,0.814827,-0.579704,0.648367,1.1918,4607,2.02527,1,159
4554,2.48308,0.815548,-0.578689,0.548869,1.14073,4607,2.02527,1,159
4555,1.02777,0.816267,-0.577674,0.226931,1.02543,4607,2.02527,1,159
4556,1.37263,0.816985,-0.576658,0.303221,1.04496,4607,2.02527,1,159
4557,1.17025,0.817702,-0.575641,0.258449,1.03286,4607,2.02527,1,159
4558,1.95219,0.818418,-0.574623,0.431429,1.0891,4607,2.02527,1,159
4559,2.19479,0.819132,-0.573605,0.485094,1.11145,4607,2.02527,1,159
4560,0.870427,0.819845,-0.572585,0.192124,1.01829,4607,2.02527,1,159
4561,1.20705,0.820557,-0.571565,0.26659,1.03493,4607,2.02527,1,159
4562,2.73149,0.821268,-0.570543,0.603822,1.16816,4607,2.02527,1,159
4563,0.86459,0.821977,-0.569521,0.190833,1.01805,4607,2.02527,1,159
4564,1.16262,0.822685,-0.568498,0.256762,1.03244,4607,2.02527,1,159
4565,1.16424,0.823391,-0.567474,0.257121,1.03253,4607,2.02527,1,159
4566,1.84525,0.824097,-0.566449,0.407771,1.07994,4607,2.02527,1,159
4567,1.27694,0.824801,-0.565423,0.282051,1.03902,4607,2.02527,1,159
4568,2.06407,0.825504,-0.564397,0.456178,1.09914,4607,2.02527,1,159
4569,2.47165,0.826205,-0.563369,0.546342,1.13951,4607,2.02527,1,159
4570,1.53742,0.826906,-0.562341,0.339674,1.05611,4607,2.02527,1,159
4571,2.03855,0.827605,-0.561311,0.450532,1.0968,4607,2.02527,1,159
4572,1.76517,0.828302,-0.560281,0.390057,1.07338,4607,2.02527,1,159
4573,1.97985,0.828999,-0.55925,0.437546,1.09153,4607,2.02527,1,159
4574,2.39699,0.829694,-0.558218,0.529826,1.13169,4607,2.02527,1,159
